GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population
0100000US,,United States,1600000US0669088,0669088,United States - California - Santa Clarita city,Santa Clarita city,176320
0100000US,,United States,1600000US0669112,0669112,United States - California - Santa Cruz city,Santa Cruz city,59946
0100000US,,United States,1600000US0669196,0669196,United States - California - Santa Maria city,Santa Maria city,99553
0100000US,,United States,1600000US0670000,0670000,United States - California - Santa Monica city,Santa Monica city,89736
0100000US,,United States,1600000US0670098,0670098,United States - California - Santa Rosa city,Santa Rosa city,167815
0100000US,,United States,1600000US0670224,0670224,United States - California - Santee city,Santee city,53413
0100000US,,United States,1600000US0672016,0672016,United States - California - Simi Valley city,Simi Valley city,124237
0100000US,,United States,1600000US0673080,0673080,United States - California - South Gate city,South Gate city,94396
0100000US,,United States,1600000US0673262,0673262,United States - California - South San Francisco city,South San Francisco city,63632
0100000US,,United States,1600000US0673430,0673430,United States - California - South Whittier CDP,South Whittier CDP,57156
0100000US,,United States,1600000US0675000,0675000,United States - California - Stockton city,Stockton city,291707
0100000US,,United States,1600000US0677000,0677000,United States - California - Sunnyvale city,Sunnyvale city,140081
0100000US,,United States,1600000US0678120,0678120,United States - California - Temecula city,Temecula city,100097
0100000US,,United States,1600000US0678582,0678582,United States - California - Thousand Oaks city,Thousand Oaks city,126683
0100000US,,United States,1600000US0680000,0680000,United States - California - Torrance city,Torrance city,145438
0100000US,,United States,1600000US0680238,0680238,United States - California - Tracy city,Tracy city,82922
0100000US,,United States,1600000US0680644,0680644,United States - California - Tulare city,Tulare city,59278
0100000US,,United States,1600000US0680812,0680812,United States - California - Turlock city,Turlock city,68549
0100000US,,United States,1600000US0680854,0680854,United States - California - Tustin city,Tustin city,75540
0100000US,,United States,1600000US0681204,0681204,United States - California - Union City city,Union City city,69516
0100000US,,United States,1600000US0681344,0681344,United States - California - Upland city,Upland city,73732
0100000US,,United States,1600000US0681554,0681554,United States - California - Vacaville city,Vacaville city,92428
0100000US,,United States,1600000US0681666,0681666,United States - California - Vallejo city,Vallejo city,115942
0100000US,,United States,1600000US0682590,0682590,United States - California - Victorville city,Victorville city,115903
0100000US,,United States,1600000US0682954,0682954,United States - California - Visalia city,Visalia city,124442
0100000US,,United States,1600000US0682996,0682996,United States - California - Vista city,Vista city,93834
0100000US,,United States,1600000US0683346,0683346,United States - California - Walnut Creek city,Walnut Creek city,64173
0100000US,,United States,1600000US0683668,0683668,United States - California - Watsonville city,Watsonville city,51199
0100000US,,United States,1600000US0684200,0684200,United States - California - West Covina city,West Covina city,106098
0100000US,,United States,1600000US0684550,0684550,United States - California - Westminster city,Westminster city,89701
0100000US,,United States,1600000US0685292,0685292,United States - California - Whittier city,Whittier city,85331
0100000US,,United States,1600000US0686328,0686328,United States - California - Woodland city,Woodland city,55468
0100000US,,United States,1600000US0686832,0686832,United States - California - Yorba Linda city,Yorba Linda city,64234
0100000US,,United States,1600000US0686972,0686972,United States - California - Yuba City city,Yuba City city,64925
0100000US,,United States,1600000US0687042,0687042,United States - California - Yucaipa city,Yucaipa city,51367
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,5029196
0100000US,,United States,1600000US0803455,0803455,United States - Colorado - Arvada city,Arvada city,106433
0100000US,,United States,1600000US0804000,0804000,United States - Colorado - Aurora city,Aurora city,325078
0100000US,,United States,1600000US0807850,0807850,United States - Colorado - Boulder city,Boulder city,97385
0100000US,,United States,1600000US0809280,0809280,United States - Colorado - Broomfield city,Broomfield city,55889
0100000US,,United States,1600000US0812815,0812815,United States - Colorado - Centennial city,Centennial city,100377
0100000US,,United States,1600000US0816000,0816000,United States - Colorado - Colorado Springs city,Colorado Springs city,416427(r39567)
0100000US,,United States,1600000US0820000,0820000,United States - Colorado - Denver city,Denver city,600158(r39568)
0100000US,,United States,1600000US0827425,0827425,United States - Colorado - Fort Collins city,Fort Collins city,143986
0100000US,,United States,1600000US0831660,0831660,United States - Colorado - Grand Junction city,Grand Junction city,58566
0100000US,,United States,1600000US0832155,0832155,United States - Colorado - Greeley city,Greeley city,92889
0100000US,,United States,1600000US0836410,0836410,United States - Colorado - Highlands Ranch CDP,Highlands Ranch CDP,96713
0100000US,,United States,1600000US0843000,0843000,United States - Colorado - Lakewood city,Lakewood city,142980
0100000US,,United States,1600000US0845970,0845970,United States - Colorado - Longmont city,Longmont city,86270
0100000US,,United States,1600000US0846465,0846465,United States - Colorado - Loveland city,Loveland city,66859
0100000US,,United States,1600000US0862000,0862000,United States - Colorado - Pueblo city,Pueblo city,106595
0100000US,,United States,1600000US0877290,0877290,United States - Colorado - Thornton city,Thornton city,118772
0100000US,,United States,1600000US0883835,0883835,United States - Colorado - Westminster city,Westminster city,106114
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,3574097
0100000US,,United States,1600000US0908000,0908000,United States - Connecticut - Bridgeport city,Bridgeport city,144229
0100000US,,United States,0600000US0900108070,0900108070,"United States - Connecticut - Bridgeport town, Fairfield County","Bridgeport town, Fairfield County",144229
0100000US,,United States,1600000US0908420,0908420,United States - Connecticut - Bristol city,Bristol city,60477
